_id,MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
1,Addington Highlands Tp,Hogg,Henry,Reeve,980,1539,Elected,Yes,Yes,No
2,Addington Highlands Tp,Fritsch,Tony,Local Councillor,464,1226,Elected,Yes,Yes,No
3,Addington Highlands Tp,Thompson,Kirby,Local Councillor,377,1226,Elected,Yes,Yes,No
4,Addington Highlands Tp,Yanch,E. Helen,Local Councillor,366,1482,Elected,Yes,Yes,No
5,Addington Highlands Tp,Hook,Kenneth,Local Councillor,563,1482,Elected,No,No,No
6,Adelaide-Metcalfe Tp,Clarke,Susan,Mayor,,,Acclaimed,Yes,No,No
7,Adelaide-Metcalfe Tp,Brodie,Mike,Local Councillor,581,3091,Elected,Yes,Yes,No
8,Adelaide-Metcalfe Tp,MacKinnon,Betty Ann,Local Councillor,460,3091,Elected,Yes,Yes,No
9,Adelaide-Metcalfe Tp,Kingma,Garett,Local Councillor,455,3091,Elected,No,No,No
10,Adelaide-Metcalfe Tp,Noordhof,Arend,Local Councillor,467,3091,Elected,No,No,No
11,Adjala-Tosorontio Tp,Anderson,Scott W.,Mayor,1608,3604,Elected,Yes,No,No
12,Adjala-Tosorontio Tp,Simson,Anub,Local Councillor,403,604,Elected,No,No,No
13,Adjala-Tosorontio Tp,Meadows,Bob,Local Councillor,455,696,Elected,Yes,No,No
14,Adjala-Tosorontio Tp,O'Leary,Ronald,Local Councillor,434,667,Elected,Yes,Yes,No
15,Adjala-Tosorontio Tp,Borsos,Miklos,Local Councillor,322,923,Elected,No,No,No
16,Adjala-Tosorontio Tp,Cox,Adam,Local Councillor,356,714,Elected,No,No,No
17,Adjala-Tosorontio Tp,Lachs,Julius,Deputy Mayor,1828,3604,Elected,No,No,No
18,Admaston-Bromley Tp,Donohue,Michael,Mayor,718,1302,Elected,Yes,Yes,No
19,Admaston-Bromley Tp,LeGris,Kevin,Local Councillor,801,1321,Elected,Yes,Yes,No
20,Admaston-Bromley Tp,Gourley,Keith,Local Councillor,1052,1321,Elected,No,No,No
21,Admaston-Bromley Tp,Hamilton,Brian,Local Councillor,703,1321,Elected,No,No,No
22,Admaston-Bromley Tp,Field,Angela,Local Councillor,679,1321,Elected,No,No,No
23,Ajax T,Collier,Shaun,Mayor,11691,18759,Elected,Yes,Yes,No
24,Ajax T,Tyler-Morin,Rob,Local Councillor,4475,6298,Elected,Yes,Yes,No
25,Ajax T,Henry,Nancy,Local Councillor,1667,5340,Elected,No,No,No
26,Ajax T,Bower,Lisa,Local Councillor,6117,6941,Elected,Yes,Yes,No
27,Ajax T,Crawford,Marilyn,Local and Regional Councillor,5108,6330,Elected,Yes,Yes,No
28,Ajax T,Lee,Sterling,Local and Regional Councillor,3066,5217,Elected,Yes,Yes,No
29,Ajax T,Dies,Joanne,Local and Regional Councillor,5095,6906,Elected,Yes,Yes,No
30,Alberton Tp,Ford,Mike,Reeve,194,353,Elected,Yes,Yes,No
31,Alberton Tp,Spence,Shawn,Local Councillor,,,Acclaimed,Yes,Yes,No
32,Alberton Tp,Glowasky,Diane,Local Councillor,,,Acclaimed,Yes,Yes,No
33,Alberton Tp,Dennis,Tyson,Local Councillor,,,Acclaimed,Yes,Yes,No
34,Alberton Tp,Spuzak,Peter,Local Councillor,,,Acclaimed,Yes,Yes,No
35,Alfred and Plantagenet Tp,Laviolette,Yves,Mayor,1454,3442,Elected,Yes,Yes,No
36,Alfred and Plantagenet Tp,Cadieux,Jean-Pierre,Local Councillor,,,Acclaimed,Yes,Yes,No
37,Alfred and Plantagenet Tp,Viau,Antoni,Local Councillor,1153,3070,Elected,Yes,Yes,No
38,Alfred and Plantagenet Tp,Walker,Ian,Local Councillor,1121,3070,Elected,Yes,Yes,No
39,Alfred and Plantagenet Tp,Lamarche,Benoit,Local Councillor,,,Acclaimed,No,No,No
40,Algonquin Highlands Tp,Danielsen,Liz,Mayor,1024,2288,Elected,Yes,No,No
41,Algonquin Highlands Tp,Barry,Lisa,Local Councillor,798,1573,Elected,Yes,Yes,No
42,Algonquin Highlands Tp,Dailloux,Jennifer,Local Councillor,,,Acclaimed,Yes,Yes,No
43,Algonquin Highlands Tp,Shortreed,Julia,Local Councillor,,,Acclaimed,Yes,Yes,No
44,Algonquin Highlands Tp,Richards,Sabrina,Local Councillor,930,1573,Elected,No,No,No
45,Alnwick-Haldimand Tp,Logel,John,Mayor,1034,2468,Elected,No,No,No
46,Alnwick-Haldimand Tp,Booth,Greg,Local Councillor,1012,6382,Elected,Yes,Yes,No
47,Alnwick-Haldimand Tp,Ainsworth,Mike,Local Councillor,1426,6382,Elected,No,No,No
48,Alnwick-Haldimand Tp,O'Neill,Mary Catherine,Local Councillor,1231,6382,Elected,No,No,No
49,Alnwick-Haldimand Tp,Stover,Joan,Deputy Mayor,1645,2460,Elected,No,No,No
50,Amaranth Tp,Gerrits,Chris,Mayor,700,1126,Elected,Yes,No,No
51,Amaranth Tp,Metzger,Brad,Local Councillor,695,,Elected,No,No,No
52,Amaranth Tp,Graham,Susan,Local Councillor,655,,Elected,No,No,No
53,Amaranth Tp,Stirk,Andrew,Local Councillor,609,,Elected,No,No,No
54,Amaranth Tp,Little,Gail,Deputy Mayor,580,1104,Elected,Yes,No,No
55,Amherstburg T,Prue,Michael,Mayor,3488,7129,Elected,Yes,No,No
56,Amherstburg T,Courtney,Peter,Local Councillor,2743,29785,Elected,Yes,Yes,No
57,Amherstburg T,McArthur,Donald,Local Councillor,3091,29785,Elected,Yes,Yes,No
58,Amherstburg T,Allaire,Molly,Local Councillor,2858,29785,Elected,No,No,No
59,Amherstburg T,Crain,Linden,Local Councillor,3795,29785,Elected,No,No,No
60,Amherstburg T,Pouget,Diane,Local Councillor,2624,29785,Elected,No,No,No
61,Amherstburg T,Gibb,Chris,Deputy Mayor,2766,7093,Elected,No,No,No
62,Armour Tp,Ward,Rod,Mayor,,,Acclaimed,Yes,No,No
63,Armour Tp,Blakelock,Rod,Local Councillor,,,Acclaimed,Yes,Yes,No
64,Armour Tp,Brandt,Jerry,Local Councillor,,,Acclaimed,Yes,Yes,No
65,Armour Tp,Whitwell,Wendy,Local Councillor,,,Acclaimed,Yes,Yes,No
66,Armour Tp,Haggart-Davis,Dorothy,Local Councillor,,,Acclaimed,No,No,No
67,Armstrong Tp,Boileau,Jean Marc,Mayor,,,Acclaimed,Yes,Yes,No
68,Armstrong Tp,Perreault,Daniel,Local Councillor,,,Acclaimed,Yes,Yes,No
69,Armstrong Tp,Rivard,Reynald,Local Councillor,,,Acclaimed,Yes,Yes,No
70,Armstrong Tp,Rivard,Michèle,Local Councillor,,,Acclaimed,Yes,Yes,No
71,Armstrong Tp,Harrison,Peggy,Local Councillor,,,Acclaimed,No,No,No
72,Arnprior T,McGee,Lisa,Mayor,1868,3518,Elected,Yes,No,No
73,Arnprior T,Burnette,Tom,Local Councillor,1647,15224,Elected,Yes,Yes,No
74,Arnprior T,Grinstead,Lynn,Local Councillor,1674,15224,Elected,Yes,Yes,No
75,Arnprior T,Toner,Chris,Local Councillor,2078,15224,Elected,Yes,Yes,No
76,Arnprior T,Couper,Chris,Local Councillor,1921,15224,Elected,No,No,No
77,Arnprior T,Denault,Billy,Local Councillor,1621,15224,Elected,No,No,No
78,Arnprior T,Lynch,Dan,Local and County Councillor,1987,3256,Elected,Yes,Yes,No
79,Arran-Elderslie M,Hammell,Steve,Mayor,,,Acclaimed,Yes,Yes,No
80,Arran-Elderslie M,Nickason,Ryan,Local Councillor,489,563,Elected,Yes,Yes,No
81,Arran-Elderslie M,Dudgeon,Brian,Local Councillor,218,337,Elected,Yes,Yes,No
82,Arran-Elderslie M,Hampton,Darryl,Local Councillor,,,Acclaimed,No,No,No
83,Arran-Elderslie M,Penner,Moiken,Local Councillor,,,Acclaimed,No,No,No
84,Arran-Elderslie M,Steinacker,Peter,Local Councillor,309,527,Elected,No,No,No
85,Arran-Elderslie M,Christie,Jennifer,Deputy Mayor,1704,2426,Elected,No,No,No
86,Ashfield-Colborne-Wawanosh Tp,McNeil,Glen,Mayor,,,Acclaimed,Yes,Yes,No
87,Ashfield-Colborne-Wawanosh Tp,Miltenburg,Jennifer,Local Councillor,1189,2373,Elected,Yes,Yes,No
88,Ashfield-Colborne-Wawanosh Tp,Forster,Wayne,Local Councillor,2247,2375,Elected,Yes,Yes,No
89,Ashfield-Colborne-Wawanosh Tp,Snobelen,Anita,Local Councillor,1298,2375,Elected,Yes,Yes,No
90,Ashfield-Colborne-Wawanosh Tp,Hickey,Evan,Local Councillor,1408,2375,Elected,No,No,No
91,Ashfield-Colborne-Wawanosh Tp,Blake,Curtis,Local Councillor,1328,2375,Elected,No,No,No
92,Ashfield-Colborne-Wawanosh Tp,Vanstone,Bill,Deputy Mayor,1480,2375,Elected,Yes,No,No
93,Asphodel-Norwood Tp,Wilford,Patrick,Mayor,813,1583,Elected,No,No,No
94,Asphodel-Norwood Tp,Walsh,Barry,Local Councillor,1244,4017,Elected,Yes,Yes,No
95,Asphodel-Norwood Tp,Warr,Paula,Local Councillor,1262,4017,Elected,Yes,Yes,No
96,Asphodel-Norwood Tp,Hodge-Greaves,Stephanie,Local Councillor,957,4017,Elected,No,No,No
97,Asphodel-Norwood Tp,Burtt,Lori,Deputy Mayor,,,Acclaimed,Yes,Yes,No
98,Assiginack Tp,Reid,Brenda,Mayor,428,692,Elected,No,No,No
99,Assiginack Tp,Maguire,Robert,Local Councillor,336,703,Elected,Yes,Yes,No
100,Assiginack Tp,Bowerman,Janice,Local Councillor,375,703,Elected,No,No,No
101,Assiginack Tp,Elliott,Dwayne,Local Councillor,472,703,Elected,No,No,No
102,Assiginack Tp,Hooper,Jennifer,Local Councillor,301,703,Elected,No,No,No
103,Athens Tp,Scott,Herb,Mayor,421,623,Elected,Yes,Yes,No
104,Athens Tp,Alguire,Darin,Local Councillor,456,637,Elected,Yes,Yes,No
105,Athens Tp,Evans,Todd,Local Councillor,489,637,Elected,Yes,Yes,No
106,Athens Tp,Kearney,Greg,Local Councillor,460,637,Elected,Yes,Yes,No
107,Athens Tp,Layng,Rob,Local Councillor,534,637,Elected,Yes,Yes,No
108,Athens Tp,Smith,Matt,Local Councillor,326,637,Elected,No,No,No
109,Athens Tp,Dancy,Anne Marie,Local Councillor,520,637,Elected,No,No,No
110,Atikokan Tp,Ferguson,Rob,Mayor,788,1129,Elected,Yes,No,No
111,Atikokan Tp,Johnson,Jim,Local Councillor,836,1130,Elected,Yes,Yes,No
112,Atikokan Tp,Shine,Elizabeth,Local Councillor,866,1130,Elected,Yes,Yes,No
113,Atikokan Tp,Knowles,Gord,Local Councillor,882,1130,Elected,No,No,No
114,Atikokan Tp,McQuay,Kristi-Lynn,Local Councillor,605,1130,Elected,No,No,No
115,Atikokan Tp,Martin,Gordon,Local Councillor,959,1130,Elected,No,No,No
116,Atikokan Tp,Zacharias,Janelle,Local Councillor,662,1130,Elected,No,No,No
117,Augusta Tp,Shaver,Jeff,Mayor,1171,1912,Elected,Yes,No,No
118,Augusta Tp,Bowman,Michele,Local Councillor,1605,5791,Elected,Yes,Yes,No
119,Augusta Tp,Henry,Tanya,Local Councillor,1604,5791,Elected,Yes,Yes,No
120,Augusta Tp,Pape,Hendrik,Local Councillor,1327,5791,Elected,No,No,No
121,Augusta Tp,Wynands,Adrian,Deputy Mayor,1140,1908,Elected,No,No,No
122,Aurora T,Mrakas,Tom,Mayor,7743,11142,Elected,Yes,Yes,No
123,Aurora T,Weese,Ron,Local Councillor,1445,2324,Elected,No,No,No
124,Aurora T,Gilliland,Rachel,Local Councillor,1070,2030,Elected,Yes,Yes,No
125,Aurora T,Gaertner,Wendy,Local Councillor,1210,2526,Elected,Yes,Yes,No
126,Aurora T,Thompson,Michael,Local Councillor,744,1067,Elected,Yes,Yes,No
127,Aurora T,Gallo,John,Local Councillor,602,1990,Elected,Yes,Yes,No
128,Aurora T,Kim,Harold,Local Councillor,801,1104,Elected,Yes,Yes,No
129,Aylmer T,Couckuyt,Jack,Mayor,712,1715,Elected,No,No,No
130,Aylmer T,Chapman,Jamie,Local Councillor,,,Acclaimed,Yes,Yes,No
131,Aylmer T,Oslach,Arthur,Local Councillor,,,Acclaimed,Yes,Yes,No
132,Aylmer T,Desrosiers,Kathryn,Local Councillor,,,Acclaimed,No,No,No
133,Aylmer T,Vanraes,William,Local Councillor,,,Acclaimed,No,No,No
134,Aylmer T,Rauhe,Jason,Local Councillor,,,Acclaimed,No,No,No
135,Aylmer T,Barbour,Pete,Deputy Mayor,1181,1705,Elected,Yes,No,No
136,Baldwin Tp,Gorham,Vern,Mayor,,,Acclaimed,Yes,Yes,No
137,Baldwin Tp,Maltais,Ray,Local Councillor,124,807,Elected,Yes,Yes,No
138,Baldwin Tp,McDowell,Bert,Local Councillor,114,807,Elected,Yes,Yes,No
139,Baldwin Tp,Cote,Jason,Local Councillor,139,807,Elected,No,No,No
140,Baldwin Tp,Lepine,"Gerald, Marc",Local Councillor,128,807,Elected,No,No,No
141,Bancroft T,Jenkins,Paul,Mayor,697,1496,Elected,Yes,Yes,No
142,Bancroft T,McGibbon,Barry,Local Councillor,327,1457,Elected,Yes,Yes,No
143,Bancroft T,McGibbon,Tracy,Local Councillor,521,2300,Elected,Yes,Yes,No
144,Bancroft T,Mullett,Charles,Local Councillor,283,1457,Elected,Yes,Yes,No
145,Bancroft T,Miles,Valerie,Local Councillor,293,1457,Elected,Yes,Yes,No
146,Bancroft T,Eastman,George,Local Councillor,407,2300,Elected,No,No,No
147,Bancroft T,Kavanagh,Mary,Local Councillor,508,2300,Elected,No,No,No
148,Barrie C,Nuttall,Alex,Mayor,13401,31368,Elected,No,No,No
149,Barrie C,Riepma,Clare,Local Councillor,1752,3536,Elected,Yes,Yes,No
150,Barrie C,Nixon,Craig,Local Councillor,1418,3825,Elected,No,No,No
151,Barrie C,Kungl,Ann-Marie,Local Councillor,2001,2752,Elected,Yes,Yes,No
152,Barrie C,Courser,Amy,Local Councillor,1134,3042,Elected,No,No,No
153,Barrie C,Thomson,Robert,Local Councillor,,,Acclaimed,Yes,Yes,No
154,Barrie C,Nigussie,Nigussie,Local Councillor,1036,3450,Elected,No,No,No
155,Barrie C,Harvey,Gary,Local Councillor,,,Acclaimed,Yes,Yes,No
156,Barrie C,Harris,Jim,Local Councillor,2877,3640,Elected,Yes,Yes,No
157,Barrie C,Morales,Sergio,Local Councillor,1427,2106,Elected,Yes,Yes,No
158,Barrie C,Hamilton,Bryn,Local Councillor,1896,3622,Elected,No,No,No
159,Bayham M,Ketchabaw,Ed,Mayor,864,1393,Elected,Yes,Yes,No
160,Bayham M,Chilcott,Susan,Local Councillor,281,381,Elected,Yes,Yes,No
161,Bayham M,Froese,Dan,Local Councillor,327,461,Elected,Yes,Yes,No
162,Bayham M,Emerson,Timothy D.,Local Councillor,308,514,Elected,No,No,No
163,Bayham M,Weisler,Rainey,Deputy Mayor,,,Acclaimed,Yes,Yes,No
164,Beckwith Tp,Kidd,Richard,Reeve,,,Acclaimed,Yes,Yes,No
165,Beckwith Tp,McKenna-Kelso,Jessica,Local Councillor,965,,Elected,No,No,No
166,Beckwith Tp,Nicholson-Watson,Kerri,Local Councillor,863,,Elected,No,No,No
167,Beckwith Tp,Rose,Erin,Local Councillor,1087,,Elected,No,No,No
168,Beckwith Tp,Dowdall,Brian,Deputy Reeve,1313,,Elected,Yes,No,No
169,Belleville C,Ellis,Neil,Mayor,9194,15605,Elected,No,No,No
170,Belleville C,Allsopp,Tyler,Local Councillor,7695,11857,Elected,Yes,Yes,No
171,Belleville C,Carr,Paul,Local Councillor,2781,3748,Elected,Yes,Yes,No
172,Belleville C,Kelly,Sean,Local Councillor,6058,11857,Elected,Yes,Yes,No
173,Belleville C,Malette,Chris,Local Councillor,6528,11857,Elected,Yes,Yes,No
174,Belleville C,Thompson,Garnet,Local Councillor,6767,11857,Elected,Yes,Yes,No
175,Belleville C,Chatten,Lisa Anne,Local Councillor,4331,11857,Elected,No,No,No
176,Belleville C,Enright-Miller,Barbara,Local Councillor,4050,11857,Elected,No,No,No
177,Belleville C,Brown,Kathryn Ann,Local Councillor,1727,3748,Elected,No,No,No
178,Billings Tp,Barker,Bryan,Mayor,,,Acclaimed,Yes,No,No
179,Billings Tp,Hunt,Michael,Local Councillor,359,1668,Elected,Yes,Yes,No
180,Billings Tp,Hillyard,David,Local Councillor,381,1668,Elected,No,No,No
181,Billings Tp,Cahill,Jim,Local Councillor,301,1668,Elected,No,No,No
182,Billings Tp,Grogan,Vincent,Local Councillor,254,1668,Elected,No,No,No
183,Black River - Matheson Tp,Bender,Doug,Mayor,,,Acclaimed,No,No,No
184,Black River - Matheson Tp,Dyment,Dave,Local Councillor,133,155,Elected,Yes,Yes,No
185,Black River - Matheson Tp,De Marchi,Dan,Local Councillor,,,Acclaimed,Yes,Yes,No
186,Black River - Matheson Tp,Druer,Kim,Local Councillor,,,Acclaimed,No,No,No
187,Black River - Matheson Tp,Rondeau,Chantal,Local Councillor,,,Acclaimed,No,No,No
188,Black River - Matheson Tp,Neal,Keith,Local Councillor,,,Acclaimed,No,No,No
189,Black River - Matheson Tp,Gadoury,Louise,Local Councillor,,,Acclaimed,No,No,No
190,Blandford - Blenheim Tp,Peterson,Mark,Mayor,,,Acclaimed,Yes,Yes,No
191,Blandford - Blenheim Tp,Banbury,George Bruce,Local Councillor,765,,Elected,Yes,Yes,No
192,Blandford - Blenheim Tp,Demarest,Nancy,Local Councillor,1073,,Elected,Yes,Yes,No
193,Blandford - Blenheim Tp,Barnes,Daryl,Local Councillor,576,,Elected,No,No,No
194,Blandford - Blenheim Tp,Young,Tina,Local Councillor,935,,Elected,No,No,No
195,Blind River T,,,Vacant - Local Councillor,,,,,,
196,Blind River T,Hagman,Sally,Mayor,,,Acclaimed,Yes,Yes,No
197,Blind River T,Posteraro,Jennifer,Local Councillor,,,Acclaimed,Yes,Yes,No
198,Blind River T,Dunbar,Betty Ann,Local Councillor,,,Acclaimed,Yes,Yes,No
199,Blind River T,Dunbar,Jim,Local Councillor,,,Acclaimed,Yes,Yes,No
200,Blind River T,Summers,Paula,Local Councillor,,,Acclaimed,Yes,Yes,No
201,Blind River T,Connell,Joe,Local Councillor,,,Acclaimed,No,No,No
202,Bluewater M,Klopp,Paul,Mayor,,,Acclaimed,Yes,Yes,No
203,Bluewater M,Whetstone,Bill,Local Councillor,,,Acclaimed,Yes,Yes,No
204,Bluewater M,Harris,Scott,Local Councillor,,,Acclaimed,Yes,Yes,No
205,Bluewater M,Walden,Peter Gordon,Local Councillor,,,Acclaimed,Yes,Yes,No
206,Bluewater M,Bailey,Winona,Local Councillor,195,335,Elected,No,No,No
207,Bluewater M,Hessel,Tyler,Local Councillor,,,Acclaimed,No,No,No
208,Bluewater M,Lamport,Greg,Local Councillor,219,372,Elected,No,No,No
209,Bluewater M,Groot,Joseph K.,Local Councillor,,,Acclaimed,No,No,No
210,Bluewater M,Becker,John,Deputy Mayor,1375,2753,Elected,Yes,No,No
211,Bonfield Tp,Paquette,Narry,Mayor,576,986,Elected,No,No,No
212,Bonfield Tp,Corbett,Jason,Local Councillor,623,3258,Elected,Yes,Yes,No
213,Bonfield Tp,Featherstone,Steve,Local Councillor,693,3258,Elected,No,No,No
214,Bonfield Tp,MacInnis,Dan,Local Councillor,553,3258,Elected,No,No,No
215,Bonfield Tp,Clark,Donna,Local Councillor,470,3258,Elected,No,No,No
216,Bonnechere Valley Tp,Murphy,Jennifer,Mayor,778,2157,Elected,Yes,Yes,No
217,Bonnechere Valley Tp,Buckwald,Merv,Local Councillor,802,7384,Elected,Yes,Yes,No
218,Bonnechere Valley Tp,Patrick,Brent,Local Councillor,833,7384,Elected,Yes,Yes,No
219,Bonnechere Valley Tp,Epps,John,Local Councillor,1287,7384,Elected,No,No,No
220,Bonnechere Valley Tp,Sanderson,Tracey,Local Councillor,746,7384,Elected,No,No,Yes
221,Bracebridge T,Maloney,Rick,Mayor,3140,6028,Elected,Yes,Yes,No
222,Bracebridge T,Vernon,Debbie,Local Councillor,408,1239,Elected,No,No,No
223,Bracebridge T,Hammond,Barry,Local Councillor,925,2011,Elected,No,No,No
224,Bracebridge T,Struthers,Andrew,Local Councillor,901,1811,Elected,Yes,Yes,No
225,Bracebridge T,Buie,Archie,Local Councillor,,,Acclaimed,Yes,Yes,No
226,Bracebridge T,McMurray,Barb,Local Councillor,253,450,Elected,Yes,Yes,No
227,Bracebridge T,Smith,Don,Local and District Councillor,3452,6028,Elected,Yes,Yes,No
228,Bracebridge T,Rhodes,Brenda,Local and District Councillor,3279,6028,Elected,No,No,No
229,Bracebridge T,Sutherland,Tatiana,Local and District Councillor,3161,6028,Elected,No,No,No
230,Bradford West Gwillimbury T,Leduc,James,Mayor,4892,9370,Elected,Yes,No,No
231,Bradford West Gwillimbury T,Duhaney,Cheraldean,Local Councillor,640,1876,Elected,No,No,No
232,Bradford West Gwillimbury T,Scott,Jonathan,Local Councillor,1008,1281,Elected,Yes,Yes,No
233,Bradford West Gwillimbury T,Verkaik,Ben,Local Councillor,224,478,Elected,No,No,No
234,Bradford West Gwillimbury T,Giordano,Joseph,Local Councillor,576,1419,Elected,No,No,No
235,Bradford West Gwillimbury T,Ferragine,Peter,Local Councillor,503,895,Elected,Yes,Yes,No
236,Bradford West Gwillimbury T,Harper,Nickolas,Local Councillor,676,1759,Elected,No,No,No
237,Bradford West Gwillimbury T,Dykie Jr.,Peter,Local Councillor,794,1662,Elected,Yes,Yes,No
238,Bradford West Gwillimbury T,Sandhu,Raj,Deputy Mayor,5705,9370,Elected,Yes,No,No
239,Brampton C,Brown,Patrick,Mayor,50652,84919,Elected,Yes,Yes,
240,Brampton C,Singh,Harkirat,Local Councillor,9076,20037,Elected,Yes,Yes,
241,Brampton C,Power,Rod,Local Councillor,4069,15597,Elected,No,No,
242,Brampton C,Santos,Rowena,Local and Regional Councillor,5143,14231,Elected,Yes,Yes,
243,Brampton C,Brar,Navjit Kaur,Local and Regional Councillor,4983,17235,Elected,No,No,
244,Brampton C,Keenan,Dennis,Local and Regional Councillor,4912,14390,Elected,No,No,
245,Brampton C,Vicente,Paul,Local and Regional Councillor,7832,14062,Elected,Yes,Yes,
246,Brampton C,Palleschi,Michael Paul,Local and Regional Councillor,9675,17097,Elected,Yes,Yes,
247,Brampton C,Medeiros,Martin,Local and Regional Councillor,7693,14380,Elected,Yes,Yes,
248,Brampton C,Fortini,Pat,Local and Regional Councillor,6919,15549,Elected,Yes,Yes,
249,Brampton C,Toor,Gurpartap Singh,Local and Regional Councillor,6086,20708,Elected,No,No,
250,Brant County,Bailey,David,Mayor,5964,8237,Elected,Yes,Yes,No
251,Brant County,Bell,John,Local Councillor,920,2780,Elected,Yes,Yes,No
252,Brant County,Chambers,Robert,Local Councillor,,,Acclaimed,Yes,Yes,No
253,Brant County,Coleman,Brian,Local Councillor,829,3369,Elected,Yes,Yes,No
254,Brant County,Howes,Steve,Local Councillor,1341,3144,Elected,Yes,Yes,No
255,Brant County,MacAlpine,John Bradley,Local Councillor,1167,3431,Elected,Yes,Yes,No
256,Brant County,Miller,David,Local Councillor,,,Acclaimed,Yes,Yes,No
257,Brant County,Peirce,John,Local Councillor,1022,2780,Elected,Yes,Yes,No
258,Brant County,Oakley,Lukas,Local Councillor,751,3144,Elected,No,No,No
259,Brant County,Kyle,Jennifer,Local Councillor,1010,3431,Elected,No,No,No
260,Brant County,Garneau,Christine,Local Councillor,1018,3369,Elected,No,No,No
261,Brantford C,Davis,Kevin,Mayor,9220,20066,Elected,Yes,Yes,No
262,Brantford C,Sicoli,Rose,Local Councillor,1641,5069,Elected,Yes,Yes,No
263,Brantford C,Carpenter,Richard,Local Councillor,3074,7699,Elected,Yes,Yes,No
264,Brantford C,Martin,Greg,Local Councillor,2144,9306,Elected,Yes,Yes,No
265,Brantford C,McCreary,Dan,Local Councillor,2658,9306,Elected,Yes,Yes,No
266,Brantford C,Sless,John,Local Councillor,2571,8709,Elected,Yes,Yes,No
267,Brantford C,Van Tilborg,Brian,Local Councillor,1518,4670,Elected,Yes,Yes,No
268,Brantford C,Sullivan,Michael,Local Councillor,2020,5069,Elected,No,No,No
269,Brantford C,Caputo,Gino,Local Councillor,1803,8709,Elected,No,No,No
270,Brantford C,Hunt,Linda,Local Councillor,1530,7699,Elected,No,No,No
271,Brantford C,Samwell,Mandy,Local Councillor,1307,4670,Elected,No,No,No
272,Brethour Tp,Wight,David,Reeve,,,Acclaimed,Yes,Yes,
273,Brethour Tp,Bellinger,Donna,Local Councillor,,,Acclaimed,Yes,Yes,
274,Brethour Tp,Corbin,Brandon,Local Councillor,,,Acclaimed,Yes,Yes,
275,Brethour Tp,Goddard,Tom,Local Councillor,,,Acclaimed,Yes,Yes,
276,Brethour Tp,Wight,Jenna,Local Councillor,,,Acclaimed,No,No,
277,Brighton M,Ostrander,Brian,Mayor,2533,4832,Elected,Yes,Yes,No
278,Brighton M,Rowley,Emily S.,Local Councillor,3063,4832,Elected,Yes,Yes,No
279,Brighton M,Butwell,Anne,Local Councillor,3061,4832,Elected,No,No,No
280,Brighton M,Wright,Bobbi,Local Councillor,2915,4832,Elected,No,No,No
281,Brighton M,Wheeldon,Jeff,Local Councillor,2910,4832,Elected,No,No,No
282,Brighton M,Faretis,Byron,Local Councillor,2261,4832,Elected,No,No,No
283,Brighton M,Anderson,Ron,Deputy Mayor,2421,4832,Elected,Yes,No,No
284,Brock Tp,Schummer,Walter,Mayor,2185,3976,Elected,Yes,No,No
285,Brock Tp,Frank,Peter,Local Councillor,666,855,Elected,No,No,No
286,Brock Tp,Doble,Claire,Local Councillor,,,Acclaimed,Yes,Yes,
287,Brock Tp,Canavan,Angela,Local Councillor,,,Acclaimed,No,No,
288,Brock Tp,Pettingill,Cria,Local Councillor,,,Acclaimed,Yes,Yes,
289,Brock Tp,Campbell,Lynn,Local Councillor,389,765,Elected,Yes,Yes,No
290,Brock Tp,Jubb,Michael,Local and Regional Councillor,3056,3993,Elected,Yes,No,No
291,Brockton M,Peabody,Chris,Mayor,,,Acclaimed,Yes,Yes,No
292,Brockton M,Elphick,Tim,Local Councillor,2395,2811,Elected,Yes,Yes,No
293,Brockton M,Hutcheon,Kym,Local Councillor,2035,2811,Elected,Yes,Yes,No
294,Brockton M,McLean,Gregory J.,Local Councillor,2170,2811,Elected,No,No,No
295,Brockton M,Clark,Mitch,Local Councillor,2306,2811,Elected,No,No,No
296,Brockton M,Kuhnke,Carl,Local Councillor,1707,2811,Elected,No,No,No
297,Brockton M,Lang,James,Deputy Mayor,,,Acclaimed,Yes,No,No
298,Brockville C,Wren,Matt,Mayor,,,Acclaimed,Yes,No,No
299,Brockville C,Wales,Cameron,Local Councillor,3838,36043,Elected,Yes,Yes,No
300,Brockville C,Kalivas,Mike,Local Councillor,3527,36043,Elected,Yes,No,No
301,Brockville C,Deery,Philip,Local Councillor,2989,36043,Elected,Yes,Yes,No
302,Brockville C,Fullarton,Jane,Local Councillor,2980,36043,Elected,Yes,Yes,No
303,Brockville C,Earle,Jeffrey,Local Councillor,2737,36043,Elected,Yes,Yes,No
304,Brockville C,Severson,Louise,Local Councillor,2684,36043,Elected,No,No,No
305,Brockville C,Lavergne,Nathalie,Local Councillor,2520,36043,Elected,Yes,Yes,No
306,Brockville C,Hobbs,Katherine,Local Councillor,2518,36043,Elected,No,No,No
307,Brooke-Alvinston M,Ferguson,David,Mayor,634,1158,Elected,Yes,Yes,No
308,Brooke-Alvinston M,Nemcek,Frank,Local Councillor,610,4061,Elected,Yes,Yes,No
